UUID,CCSS,Standard Group,Human Readable,Grade Group,Category,OLO ID,OLO Description,
e345d2fe-abdc-4312-ada9-6f5ad7ab6f18,5.G.1,OLO.Math,Open Learning Objectives-Math,Elementary,Coordinate plane,OLO.COP.1,"Name the coordinates of points in the first quadrant of the coordinate plane up to 10,10","OLO.CNV.1, OLO.COP.4, OLO.Frac.2, OLO.GEO.8, OLO.CoP.3"
01699b79-ff60-48b9-bfc1-05b3c8fdc167,5.G.2,OLO.Math,Open Learning Objectives-Math,Elementary,Coordinate plane,OLO.COP.3,"Use a pattern to create ordered pairs of values in a table, and graph the ordered pairs on a coordinate plane. ","OLO.Frac.2, OLO.COP.4, OLO.GEO.8"
19a2d66c-6cad-41a0-ad1b-66afe277a74b,5.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Coordinate plane,OLO.COP.2,"Given an equation, determine whether a pair of x,y values fits that equation",
8a8ef1c7-4610-47de-b257-a4fe1a01b18e,5.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Coordinate plane,OLO.COP.3,"Use a pattern to create ordered pairs of values in a table, and graph the ordered pairs on a coordinate plane. ",
70cb90ef-b5b3-4d09-adae-a078ec21e0d2,1.NBT.1,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.5,Count within 120,
098e5225-a92a-4e8e-9d95-8bee5ad7e86b,2.G.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.6,Count using graphical representations,
95cd1b4f-1c0e-4fa4-92e9-0c7f2179299b,2.MD.5,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.5,Count within 120,
c2f9b1ee-74a8-460c-9ab7-f04865ac0ac8,2.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.1,Skip-count by 5s; up to 100,
bd44a3b0-4cb3-45f2-ba85-7b116169b933,2.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.2,Skip-count by 10s; up to 120,
c579bf17-a322-4d25-a937-c8359a0f6dd3,2.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.3,"Skip-count by 100s; up to 1,200",
3669a370-be02-41a3-a97d-d108088aab70,2.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.4,"Count within 1,000",
85dc1867-bb62-4aca-91d6-08928e843deb,2.NBT.3,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.8,Count and display values using numerical and alphanumeric representations,
8f224d4d-0b53-4ae0-b71e-9d7a35afc47c,2.NBT.9,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.6,Count using graphical representations,
12262063-8ff1-4f98-beb1-d2d95813262a,4.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Counting,OLO.CNT.8,Count and display values using numerical and alphanumeric representations,
ca160e32-9684-4318-9219-0f7ba1783a23,4.NF.6,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.1,Convert fractions to decimals--tenths,
faa17560-51a9-488b-aa4f-7a2a6dd876ad,4.NF.6,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.2,Convert fractions to decimals--hundredths,
e8b93c35-3a8f-49c4-848e-578f11e37e5a,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.3,Convert decimals to fractions--tenths,
78f01563-0644-4d7e-88b1-771d7f94d3b7,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.4,Convert decimals to fractions--hundredths,
b65de898-6e12-4bdb-a724-67b11ed70f59,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.5,Convert decimals to fractions--thousandths,
3e191cc3-f2eb-4c54-a163-397d823b651a,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.6,Convert fractions to decimals up to hundredths--up to a denominator of 5,
be42cddf-d0e6-42f5-8d0f-1406e1b94abd,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal conversions,OLO.DECCONV.7,Convert fractions to decimals--mixed numbers with denominator up to 5,
e79927c6-29cb-49e2-ba8a-db1457878f8d,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal operations,OLO.DECOP.1,Add decimals up to thousandths,
a7a76c47-46ad-4650-a829-a3a63dfc4391,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal operations,OLO.DECOP.2,Subtract decimals up to thousandths,
5276669e-b49c-49ea-8bf6-c21b22852ae2,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal operations,OLO.DECOP.3,Multiply decimals up to hundredths,
d0d94838-745e-492e-a4fd-b41e65aba233,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal operations,OLO.DECOP.4,Divide decimals up to hundredths,
75484380-233b-4ad1-9931-1cfe7a264034,5.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Decimal operations,OLO.DECOP.5,Solve word problems using decimals,
fb43457d-17db-414f-9cd8-967f7401806e,4.MD.4,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.1,Compare two decimals to thousandths based on meanings of the digits in each place. ,
a050b7bf-5832-4ad7-b18f-3e834bd04d88,4.MD.4,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.1,Compare two decimals to thousandths based on meanings of the digits in each place. ,
897f2a53-2c7d-4575-abd9-f72925f44a45,4.NF.5,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.2,"Write decimals to hundredths, including numbers to the left of the decimal.  ",
93854026-784d-45f6-9740-f392fced097c,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.3,"Write decimals to tenths, including numbers to the left of the decimal. ",
ba644ea1-cca5-4634-b203-02af8dc5af42,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.4,"Write decimals to thousandths, including numbers to the left of the decimal. ",
ffa37bf2-3f28-45bf-825b-a01ad47cadf3,5.NBT.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.5,"Write any decimals up to thousandths, including numbers to the left of the decimal. ",
c01860ec-4c4f-477e-b849-d7695a94834f,5.NBT.3.b,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.1,Compare two decimals to thousandths based on meanings of the digits in each place. ,
853e6232-7ebe-45c7-84f5-57d3859fc1ec,5.NBT.3.b,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.6,Use place value understanding to round decimals to any place up to thousandths.,
4d2058d4-5a9b-4faa-92a1-72b2c9eab35b,5.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Decimals,OLO.DEC.6,Use place value understanding to round decimals to any place up to thousandths.,
51cf2c69-58fc-4d87-b42a-cbe94d2d71df,3.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.3,"Illustrate division of 4 digit numbers by 1 digit numbers with remainders with drawings, arrays and/or area models",
826d8c2e-5764-48f3-9615-edca37503a62,3.OA.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.1,Solve for an unknown factor using division,
55c5d8b1-ef4e-4cc3-8332-21c9e1405e57,4.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.2,"Divide a 4-digit number by a 1-digit number, with remainder",
8371e80c-05cd-499c-b1ce-26e871d71391,4.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.3,"Illustrate division of 4 digit numbers by 1 digit numbers with remainders with drawings, arrays and/or area models",
a49652cf-7432-47cb-b870-b289b5c9fbac,4.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.4,"Divide a 2-digit number by a 2-digit number, with remainder",
012b4943-1ad0-4d39-bd2a-d4f629b03c9e,4.OA.2,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.5,"Divide a 2-digit number by a 1-digit number, with remainder",
45cf43db-a5c3-4141-a37e-a7c4ff1a6b08,4.OA.2,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.5,"Divide a 2-digit number by a 1-digit number, with remainder",
0f37fd3b-c3d0-46df-96c9-eefdf1b5af92,5.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.6,Divide a 2-digit number by a 1-digit number,
69218584-5650-4424-9c44-7ccd9f7cdd16,5.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.7,Divide a 2-digit number by a 2-digit number,
44e1682c-b82a-4a1b-a09a-8a3f74006a94,5.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.8,"Divide a 4-digit number by a 2-digit number, with remainder",
f675340e-a5e5-4852-b902-6792ebba791b,5.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.9,"Solve multi-step word problems with all four operations, knowing which operations to use",
1633cefa-d6c0-4e0c-9df3-0e7922747278,5.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Division,OLO.DIV.10,"Solve multi-step word problems with all four operations, not knowing which operations to use",
30fb6e80-60e1-4bc4-8064-a3a4eeb5c544,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.1,Estimate sums to the nearest ten,
c5043966-7b8f-4ff0-ba9a-d3e30a51e525,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.2,Estimate sums to the nearest hundred,
5c36afbb-9781-4030-958d-a12930f2936f,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.3,Estimate sums to the nearest thousand,
7b0c8f41-7b3a-4207-b5d6-21d795c40313,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.4,"Estimate sums to the nearest ten, hundred, or thousand",
3c13cf5f-4374-49dd-802e-19b6812875c0,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.5,Estimate sums to the leading digit for numbers up to four digits,
48eec3d2-0a9e-41a6-b382-992cc4764765,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.1,Estimate sums to the nearest ten,
dff2adb7-1668-45c4-8290-0054f7d5adbc,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.2,Estimate sums to the nearest hundred,
7a4d31a7-4f5f-4cbd-8c1b-fac7971d7a7d,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.3,Estimate sums to the nearest thousand,
14bd7a1a-8d9b-4f5e-a5a7-6734f6cbafcb,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.4,"Estimate sums to the nearest ten, hundred, or thousand",
a5da126e-e67a-474f-b9d0-4fe3cb09d1f8,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with addition,OLO.ESTADD.5,Estimate sums to the leading digit for numbers up to four digits,
45f0a173-266e-44b3-9e22-37ce95bf174a,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.1,Estimate division to the nearest ten,
b86426aa-d1d5-448b-8991-840076b90c70,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.2,Estimate division to the nearest hundred,
b7b05fe2-b7ee-497e-9478-d36a1ddb2e97,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.3,Estimate division to the nearest thousand,
8be96f4b-54cd-4d8b-ba24-55a123669c7d,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.4,"Estimate division to the nearest ten, hundred, or thousand",
d0d8f5a1-7b6c-4c8a-bdfc-a3614e4cf0c5,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.5,Solve word problems with estimation in all four operations,
aaa42182-14c7-41de-a62d-aa263696c5d3,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.1,Estimate division to the nearest ten,
440986ab-5007-4f99-87eb-7d8380d592da,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.2,Estimate division to the nearest hundred,
2f20a85b-09c1-4873-9044-557834accf6b,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.3,Estimate division to the nearest thousand,
63b98fc2-b63f-406e-a17c-f376845d96bd,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.4,"Estimate division to the nearest ten, hundred, or thousand",
3644dafa-4ee1-497f-9b03-32564e763317,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with division,OLO.ESTDIV.5,Solve word problems with estimation in all four operations,
494612dd-6785-42db-b3f1-8606de7e554d,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.1,Estimate products to the nearest ten,
c0664d7c-7a06-466f-8e18-ab7326c0cefb,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.2,Estimate products to the nearest hundred,
d8035318-e8c8-48e2-bea5-c1a16c181b37,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.3,Estimate products to the nearest thousand,
1b5dcdd7-5b56-4613-ad51-a3be16e01bc4,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.4,"Estimate products to the nearest ten, hundred, or thousand",
894b47ab-da0a-4746-8e1f-2f92f8ddbb80,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.1,Estimate products to the nearest ten,
3f8af84f-7dd0-4e7a-beaf-c272424a6d8c,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.2,Estimate products to the nearest hundred,
e68da287-4bec-4624-9d1d-3ca55be6b3eb,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.3,Estimate products to the nearest thousand,
a2eeff40-9adb-4447-8a74-27da371e2dd6,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with multiplication,OLO.ESTMULT.4,"Estimate products to the nearest ten, hundred, or thousand",
a060889a-de3e-4078-b4ab-f94bd43dc89a,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.1,Estimate differences to the nearest ten,
993a8b5f-4bd7-495d-bd38-7bdc22b7200a,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.2,Estimate differences to the nearest hundred,
aa90e2dd-8493-458e-ba2d-c47160742ca3,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.3,Estimate differences to the nearest thousand,
12dbc0b8-3cab-4938-8ef0-6bbdd03db052,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.4,"Estimate differences to the nearest ten, hundred, or thousand",
a8305bab-25cc-44d4-ab73-ce8a4e2e2c72,3.OA.8,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.5,Estimate differences to the leading digit for numbers up to four digits,
ae0c7204-c856-4d56-9008-89abe93632d7,4.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Estimation with subtraction,OLO.ESTSUB.1,Estimate differences to the nearest ten,
