Unique ID,England 'Year',Key Stage,England Strand,England Code,England Descriptor
81afc84d-f153-4e0c-b84b-a4dc23be4b25,2,Key Stage 1,Statistics,Ma2_4.1.a ,"Interpret and construct simple pictograms, tally charts, block diagrams and tables"
32aeb36f-e800-4d8f-8846-4a631ced4b9f,2,Key Stage 1,Properties of Shapes,Ma2_3.2.a,"Identify and describe the properties of 2-D shapes, including the number of sides and line symmetry in a vertical line."
54629949-c6b9-4475-952e-08ebad72888e,2,Key Stage 1,Properties of Shapes,Ma3_3.2.b,Recognise angles as a property of shape or a description of a turn
b193e4cf-3baf-4aed-91da-f087ed1d1b28,2,Key Stage 1,Fractions,Ma2_2.4.a,"Recognise, find, name and write fractions 1/3, 1/4, 2/4 and 3/4 of a length, shape, set of objects or quantity."
283b2c4e-38a1-4f61-babd-72acab056cfe,2,Key Stage 1,Fractions,Ma2_2.4.b,"Write simple fractions, for example 1/2 of 6 = 3 and recognise the equivalence of 2/4 and 1/2."
06037335-6794-40b3-88f3-3e02b605492e,2,Key Stage 1,Fractions,Ma3_2.4.d,"Recognise and show, using diagrams, equivalent fractions with small denominators"
8d58a635-4d96-49df-87db-d898f149c043,2,Key Stage 1,Multiplication and Division,Ma2_2.3.d ,"Solve problems involving multiplication and division, using materials, arrays, repeated addition, mental methods, and multiplication and division facts, including problems in contexts."
430abf54-cb91-4cec-9f3a-50a0bcec0f46,2,Key Stage 1,Multiplication and Division,Ma2_2.3.c ,Show that multiplication of 2 numbers can be done in any order (commutative) and division of 1 number by another cannot
4e7b25e0-1533-4e04-87f6-e774d7a13c32,2,Key Stage 1,Multiplication and Division,Ma2_2.3.b ,"Calculate mathematical statements for multiplication and division within the multiplication tables and write them using the multiplication (×), division (÷) and equals (=) signs"
4a613b47-eedc-4aac-b062-abd6207421cc,2,Key Stage 1,Fractions,Ma2_2.4.a ,"Recognise, find, name and write fractions 1/3, 1/4, 2/4 and 3/4 of a length, shape, set of objects or quantity"
b0162d28-68ac-4564-9910-34c6f5900a16,3,Lower Key Stage 2,Properties of Shapes,Ma2_3.2.c ,Identify 2-D shapes on the surface of 3-D shapes
007a6c1a-c28e-43ac-803f-22a6cc242def,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.b,"Recognise the place value of each digit in a 3-digit number (100s, 10s, 1s)."
be5f770c-3564-446e-87d0-09efaf498e51,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.d,"Identify, represent and estimate numbers using different representations"
fe90cb5c-6a35-4cf0-94d2-d5f980002b68,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.b ,"Recognise the place value of each digit in a 3-digit number (100s, 10s, 1s)"
935d2a30-3b78-4e0b-bc95-e4222d40733e,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.1.c," read and write numbers up to 1,000 in numerals and in words."
62bc8de9-3d63-4d23-8e5a-5ece90106a1a,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.1.e,"Compare and order numbers up to 1,000."
95fa7012-9452-4f6f-ae85-88a4f5b7fcaa,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.1.a,"Count from 0 in multiples of 4, 8, 50 and 100; find 10 or 100 more or less than a given number"
51fd4e74-a03d-4c92-b867-17b3f7f66214,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.c,"Compare and order numbers up to 1,000"
4912789e-fc39-4504-859a-c0fec0549a8c,3,Lower Key Stage 2,Number and Place Value,Ma3_2.2.a,"Add and subtract numbers mentally, including:  a three-digit number and 1s, a three-digit number and 10s, a three-digit number and 100s."
5c4fa195-c70f-48e4-b7e4-8f766e7d4eaa,3,Lower Key Stage 2,Number and Place Value,Ma3_2.2.b,"Add and subtract numbers with up to 3 digits, using formal written methods of columnar addition and subtraction"
4983cff4-a9e0-40d0-b8b5-c02856abc0c0,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.a ,"Count from 0 in multiples of 4, 8, 50 and 100; find 10 or 100 more or less than a given number"
6eb77f59-91d8-4b0a-812b-1e0f822680a3,3,Lower Key Stage 2,Number and Place Value,Ma3_2.1.f ,Solve number problems and practical problems involving these ideas.
3f3e2f8f-bdf5-48d3-bdae-2bc79acf05f5,3,Lower Key Stage 2,Measurement,Ma3_3.1.a ,"Measure, compare, add and subtract: lengths (m/cm/mm); mass (kg/g); volume/capacity (l/ml)"
3855a590-fbda-4300-ab15-98100fbd84b3,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.3.c ,"Solve problems, including missing number problems, involving multiplication and division, including positive integer scaling problems and correspondence problems in which n objects are connected to m objects."
5255a01f-7bb4-4129-b163-bdfa88e6810f,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.2.c,Estimate the answer to a calculation and use inverse operations to check answers
8872c865-b52d-4753-830a-2f409fe304b8,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.3.b ,"Write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods"
dc0d0acc-3474-48fd-bac8-986d68b573b0,3,Lower Key Stage 2,Fractions,Ma3_2.4.b ,"Recognise, find and write fractions of a discrete set of objects: unit fractions and non-unit fractions with small denominators"
d493b9f7-fd4c-458b-b90d-701746a56b74,3,Lower Key Stage 2,Fractions,Ma3_2.4.c ,Recognise and use fractions as numbers: unit fractions and non-unit fractions with small denominators
1def22a7-7b38-4388-91f7-3990d43029a6,3,Lower Key Stage 2,Fractions,Ma3_2.4.f ,"Compare and order unit fractions, and fractions with the same denominators"
6c8766f9-23a8-47ee-9ad4-6747980551c4,3,Lower Key Stage 2,Measurement,Ma3_3.1.e,"Estimate and read time with increasing accuracy to the nearest minute; record and compare time in terms of seconds, minutes and hours; "
b5d2c587-5b41-44ba-af41-0c37ad0e2c6c,3,Lower Key Stage 2,Measurement,Ma3_3.1.d,"Use vocabulary such as o'clock, am/pm, morning, afternoon, noon and midnight."
5b75c198-7b33-473b-8acf-ea8c2890a87d,3,Lower Key Stage 2,Measurement,Ma3_3.1.f,"Tell and write the time from an analogue clock, including using Roman numerals from I to XII, and 12-hour and 24-hour clocks."
ecf3aa9f-d69a-4148-9b3c-a4095054b20e,3,Lower Key Stage 2,Measurement,Ma3_3.1.g,"Know the number of seconds in a minute and the number of days in each month, year and leap year, compare durations of events."
54f18b2d-0ef7-4548-a63e-016759e8b37b,3,Lower Key Stage 2,Measurement,Ma4_3.1.e,"Read, write and convert time between analogue and digital 12 and 24-hour clocks"
3b018572-89ad-4025-bdd6-9d743de8520b,3,Lower Key Stage 2,Statistics,Ma3_4.1.a,"Interpret and present data using bar charts, pictograms and tables."
e1070671-949f-4cb2-8a3f-7780c55ab98b,3,Lower Key Stage 2,Statistics,Ma3_4.1.b,Solve one-step and two-step questions using information presented in scaled bar charts and pictograms and tables.
fc2a820e-05ce-45bc-9062-1e0f5220fe07,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.3.b,"Write and calculate mathematical statements for multiplication and division using the multiplication tables that they know, including for two-digit numbers times one-digit numbers, using mental and progressing to formal written methods, "
b450813f-3e0e-4cfd-8fe0-90dded6b7e34,3,Lower Key Stage 2,Multiplication and Division,Ma4_2.1.f,"Identify, represent and estimate numbers using different representations"
c63231a7-70cd-476a-b8aa-faa40d533a79,3,Lower Key Stage 2,Multiplication and Division,Ma3_2.3.c ,"Solve problems, including missing number problems, involving multiplication and division, including positive integer scaling problems and correspondence problems in which n objects are connected to m objects."
4afdd724-3ce7-42dd-a52b-e21ecf678691,3,Lower Key Stage 2,Properties of Shape,Ma3_3.2.c,"Identify right angles, recognise that 2 right angles make a half-turn, 3 make three quarters of a turn and 4 a complete turn; identify whether angles are greater than or less than a right angle."
967ecaf3-5288-4706-affd-80563c67a490,3,Lower Key Stage 2,Properties of Shape,Ma3_3.2.d,Identify acute and obtuse angles and compare and order angles up to 2 right angles by size.
96e9c734-0e24-477e-a738-4b6afcf314bb,3,Lower Key Stage 2,Properties of Shape,Ma4_3.2.b,Identify horizontal and vertical lines and pairs of perpendicular and parallel lines.
d124ddf1-8b78-4b7a-bc42-e77ef263b40c,4,Lower Key Stage 2,Addition and Subtraction,Ma4_2.2.a  ,Add and subtract numbers with up to 4 digits using the formal written methods of columnar addition and subtraction where appropriate
81ab31f0-c8a2-4302-813e-18cb9e9cf473,4,Lower Key Stage 2,Addition and Subtraction,Ma3_2.1.f,Solve number problems and practical problems involving these ideas.
a8fe5fed-e343-4fc1-8104-5d521300c6c2,4,Lower Key Stage 2,Properties of Shapes,Ma4_3.1.c ,Find the area of rectilinear shapes by counting squares
e2a33b38-e6b4-499a-9ca4-451af8670116,4,Lower Key Stage 2,Multiplication and Division,Ma4_2.3.a,Recall multiplication and division facts for multiplication tables up to 12 × 12.
95b726ef-ec4b-47c1-a887-c164693365fc,4,Lower Key Stage 2,Multiplication and Division,Ma3_2.3.a,"Recall and use multiplication and division facts for the 3, 4 and 8 multiplication tables"
c00c5990-3cb0-46e1-890e-e8bf296377f6,4,Lower Key Stage 2,Multiplication and Division,Ma6_2.2.d,"Perform mental calculations, including with mixed operations and large numbers."
c7ddbaf2-f13e-48e3-aed2-fd896cc5de00,4,Lower Key Stage 2,Addition and Subtraction,Ma4_2.2.c,"Solve addition and subtraction two-step problems in contexts, deciding which operations and methods to use and why."
c30b3530-087f-4d63-866b-b8ded13305bb,4,Lower Key Stage 2,Addition and Subtraction,Ma4_2.3.e,"Solve problems involving multiplying and adding, including using the distributive law to multiply two digit numbers by 1 digit, integer scaling problems and harder correspondence problems such as n objects are connected to m objects."
e1f09884-4ba7-4256-aac6-02c158de1464,4,Lower Key Stage 2,Addition and Subtraction,Ma3_2.2e,"Solve problems, including missing number problems, using number facts, place value, and more complex addition and subtraction."
70bf81a6-7f30-447e-a90e-c4ba98a8a258,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.g ,"Round any number to the nearest 10, 100 or 1,000"
3e73d1a9-cc7b-4260-ab28-6b1a5d9697f3,4,Lower Key Stage 2,Addition and Subtraction,Ma4_2.2.a ,Add and subtract numbers with up to 4 digits using the formal written methods of columnar addition and subtraction where appropriate
3351ab0d-8f86-45fa-bdb5-406c86472bb5,4,Lower Key Stage 2,Fractions,Ma4_2.4.a,"Recognise and show, using diagrams, families of common equivalent fractions"
01f90d32-62af-4232-b9b2-c1cbd785015b,4,Lower Key Stage 2,Fractions,Ma3_2.4.g,Solve problems that involve all of the above.
8c046f13-c888-460e-a99c-842f4adfbc24,4,Lower Key Stage 2,Fractions,Ma4_2.4.a ,"Recognise and show, using diagrams, families of common equivalent fractions"
7f39fad4-c9c0-4412-a628-6be04c5598d8,4,Lower Key Stage 2,Properties of Shape,Ma4_3.2.a ,"Compare and classify geometric shapes, including quadrilaterals and triangles, based on their properties and sizes"
1b485654-7e12-40b6-9b8e-22e3cb16da3b,4,Lower Key Stage 2,Multiplication and Division,Ma4_2.3.e,"Solve problems involving multiplying and adding, including using the distributive law to multiply two digit numbers by 1 digit, integer scaling problems and harder correspondence problems such as n objects are connected to m objects."
691d11bc-d34b-4ce6-9e60-34392b4e319b,4,Lower Key Stage 2,Multiplication and Division,Ma5_2.3.e,Multiply and divide numbers mentally drawing upon known facts.
28c315cc-fe62-4c7e-b2f4-298537fd50af,4,Lower Key Stage 2,Multiplication and Division,Ma6_2.2.i,"Use estimation to check answers to calculations and determine, in the context of a problem, an appropriate degree of accuracy."
26d0cd59-7b98-4e5d-8d5a-84cb7ce959a2,4,Lower Key Stage 2,Multiplication and Division,Ma4_2.3.c,Recognise and use factor pairs and commutativity in mental calculations.
a668d05b-c8ad-4832-b5e6-8ac04e99e53a,4,Lower Key Stage 2,Multiplication and Division,Ma5_2.3.a,"Identify multiples and factors, including finding all factor pairs of a number, and common factors of two numbers."
2ecf40af-e229-4652-a149-32518f60c439,4,Lower Key Stage 2,Multiplication and Division,Ma5_2.3.b,"Know and use the vocabulary of prime numbers, prime factors and composite (non-prime) numbers"
f9843ea7-8cab-4a1d-b339-9edb837bc0c7,4,Lower Key Stage 2,Multiplication and Division,Ma5_2.3.c,Establish whether a number up to 100 is prime and recall prime numbers up to 19
1efa0861-5950-4a19-98a9-ffd97c3df868,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.d,"Recognise the place value of each digit in a four-digit number (1,000s, 100s, 10s and 1s)."
e4ceb8c9-2928-4ab6-8792-d198054ba14b,4,Lower Key Stage 2,Number and Place Value,Ma5_2.1.b,"Count forwards or backwards in steps of powers of 10 for any given number up to 1,000,000"
06a3b03c-eab8-4ade-904b-b6eface946f0,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.e,"Order and compare numbers beyond 1,000."
ba7727a4-2494-4eed-b173-77da7058d519,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.b,"Find 1,000 more or less than a given number."
529e6e0f-abfb-4e3b-a666-ea3d913f04ac,4,Lower Key Stage 2,Number and Place Value,Ma6_2.1.a,"Read, write, order and compare numbers up to 10 000 000 and determine the value of each digit"
9e3ad5c4-ae94-4085-9e4b-bb1aa12bf29e,4,Lower Key Stage 2,Fractions,Ma4_2.4.d ,Add and subtract fractions with the same denominator
53524bef-ad2d-4ab3-aaa8-60eee5190377,4,Lower Key Stage 2,Fractions,Ma4_2.4.c ,"Solve problems involving increasingly harder fractions to calculate quantities, and fractions to divide quantities, including non-unit fractions where the answer is a whole number"
936d262a-4092-4f0e-b78b-b908bf1554c0,4,Lower Key Stage 2,Fractions,Ma4_2.4.g,"Find the effect of dividing a one- or two-digit number by 10 and 100, identifying the value of the digits in the answer as ones, tenths and hundredths."
c8c7a957-2970-42bc-a744-182b45e355e5,4,Lower Key Stage 2,Fractions,Ma4_2.4.b,Count up and down in hundredths; recognise that hundredths arise when dividing an object by a 100 and dividing tenths by 10.
3c103461-994a-4b8c-aaae-bbdbd2be6058,4,Lower Key Stage 2,Fractions,Ma4_2.4.e,Recognise and write decimal equivalents of any number of tenths or hundredths.
f2b934ba-2780-4c74-9d05-f9768b265370,4,Lower Key Stage 2,Fractions,Ma4_2.4.f,Recognise and write decimal equivalents to ¼; ½; ¾.
abdc4ac1-c15e-41cb-b050-982daeb88d88,4,Lower Key Stage 2,Fractions,Ma6_2.3k,"Recall and use equivalences between simple fractions, decimals and percentages, including in different contexts."
86a52f65-e047-4b45-915a-25ce2f1fdeec,4,Lower Key Stage 2,Fractions,Ma4_2.4.i ,Compare numbers with the same number of decimal places up to 2 decimal places
5a574ec5-2ee5-4ef0-943a-376d600c2bda,4,Lower Key Stage 2,Measurement,Ma4_3.1.d,"Estimate, compare and calculate different measures, including money in pounds and pence."
ddda2be0-306d-43fb-aa6b-f0be2548f364,4,Lower Key Stage 2,Measurement,Ma4_3.1.f,"Solve problems involving converting from hours to minutes, minutes to seconds, years to months, weeks to days."
2bdfffc3-5ef7-45cd-a274-393aaecbf166,4,Lower Key Stage 2,Measurement,Ma5_3.1.f,Solve problems involving converting between units of time
db8a2120-81e1-421d-a024-78ece1ed78ad,4,Lower Key Stage 2,Statistics,Ma4_4.1.a,"Interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs."
76bc2988-de43-47fe-b654-c53a21a05682,4,Lower Key Stage 2,Statistics,Ma4_4.1.b,"Solve comparison, sum and difference problems using information presented in bar charts, pictograms, tables and other graphs."
0adaec33-6074-4c92-9f48-e3aba6bb5351,4,Lower Key Stage 2,Statistics,Ma5_4.1.b,"Complete, read and interpret information in tables, including timetables."
b032ae89-2d9d-4fe7-928f-763c2a5ca09c,4,Lower Key Stage 2,Properties of Shape,Ma4_3.2.c,Identify lines of symmetry in 2-D shapes presented in different orientations.
bbee2e4a-825f-47d2-af81-43ad0e4ebfaa,4,Lower Key Stage 2,Properties of Shape,Ma4_3.2.d,Complete a simple symmetric figure with respect to a specific line of symmetry.
008f7ac8-db89-49fd-a346-72b1c389c258,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.a ,"Count in multiples of 6, 7, 9, 25 and 1,000"
e1009331-51da-4236-b86e-1be1b0c1ea43,4,Lower Key Stage 2,Measurement,Ma4_3.1.a," convert between different units of measure, solve problems involving the calculation and conversion of units of measure, using decimal notation up to 2 decimal places where appropriate."
b5395e8a-2ed5-420d-881a-9fda08fcfb0d,4,Lower Key Stage 2,Measurement,Ma6_3.1.a,"Use, read, write and convert between standard units."
b86b77b4-e4a7-4d2a-8ab5-880bd442d9d7,4,Lower Key Stage 2,Measurement,Ma6_3.1.b,"Converting measurements of length, mass, volume and time from a smaller unit of measure to a larger unit, and vice versa, using decimal notation to up to 3 decimal places."
cec3c57c-471e-465d-873a-0130ad5d392e,4,Lower Key Stage 2,Measurement,Ma5_3.1.a,Convert between different units of metric measure.
eabbfa70-57a7-414e-9212-12b6ce9e868c,4,Lower Key Stage 2,Measurement,Ma6_3.1.c,Convert between miles and kilometres
e9f959fb-c168-48e0-8074-3ad84ac13b4a,4,Lower Key Stage 2,Position and Direction,Ma4_3.3.a,Describe positions on a 2-D grid as coordinates in the first quadrant
0ec16c0e-8864-43ce-a467-1971c7d24f3f,4,Lower Key Stage 2,Position and Direction,Ma4_3.3.b,Describe movements between positions as translations of a given unit to the left/right and up/down
71f2827c-93ac-4ace-9443-2e40b83283ac,4,Lower Key Stage 2,Position and Direction,Ma4_3.3.c,Plot specified points and draw sides to complete a given polygon.
9b9c23f1-93a7-4571-84cd-f195729c9ffc,4,Lower Key Stage 2,Properties of Shapes,Ma4_3.2.a,"Compare and classify geometric shapes, including quadrilaterals and triangles, based on their properties and sizes."
b61dcf64-9865-4f67-b8e0-c9235445fdc3,4,Lower Key Stage 2,Properties of Shapes,Ma5_3.2f,Distinguish between regular and irregular polygons based on reasoning about equal sides and angles.
15d2b4cd-aa04-413d-86a3-99fad208dffb,4,Lower Key Stage 2,Number and Place Value,Ma4_2.1.c,"Count backwards through 0 to include negative numbers,interpret negative numbers in context."
a6563ec2-2e24-44af-9254-f0983ea577d7,4,Lower Key Stage 2,Number and Place Value,Ma5_2.1.c,"Count forwards and backwards with positive and negative whole numbers, including through 0"
d65792bc-876b-4fa1-8e9e-1848aa06aab8,5,Lower Key Stage 2,Fractions,Ma5_2.4.a,Compare and order fractions whose denominators are all multiples of the same number
bcf270b0-d31c-4f60-ab84-8aed1ca6d6ba,5,Lower Key Stage 2,Fractions,Ma3_2.4.a,Count up and down in tenths; recognise that tenths arise from dividing an object into 10 equal parts and in dividing one-digit numbers or quantities by 10
b9a50baf-b1b9-4b7c-9ed9-81e4e4f34702,5,Upper Key Stage 2,Fractions,Ma5_2.4.a ,Compare and order fractions whose denominators are all multiples of the same number
f4d0ba66-31b8-406a-b945-bb6987d40f7f,5,Upper Key Stage 2,Measurement,Ma5_3.1.b ,"Understand and use approximate equivalences between metric units and common imperial units such as inches, pounds and pints"
46c6b266-7e47-458e-aee5-99a1a42e681a,5,Upper Key Stage 2,Measurement,Ma5_3.1.d,"Calculate and compare the area of rectangles (including squares) including using standard units, square centimetres (cm2) and square metres (m2) and estimate the area of irregular shapes"
