CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
K.RI.5,OLO.ELA,Elementary,Text Features,,"Identify the front cover, back cover, and title page of a book."
K.RI.6,OLO.ELA,Elementary,Expository Text,,Name the author and define the role of the speaker in an expository text.
K.RI.6,OLO.ELA,Elementary,Expository Text,,Name the illustrator and define the role of the visual information in a text.
K.RI.7,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the relationship between illustrations of and the information about people in a text. "
K.RI.7,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the relationship between illustrations of and information about places or things in a text."
K.RI.7,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the relationship between illustrations of and information about ideas in a text."
K.RI.8,OLO.ELA,Elementary,Expository Text,,"With prompting and support, identify the reasons an author gives to support points in a text."
K.RI.9,OLO.ELA,Elementary,Expository Text,,"With prompting and support, identify basic similarities  and differences in information between two texts on the same topic."
K.RI.9,OLO.ELA,Elementary,Expository Text,,"With prompting and support, identify basic similarities  and differences in descriptions between two texts on the same topic."
K.RI.9,OLO.ELA,Elementary,Expository Text,,"With prompting and support, identify basic similarities  and differences in procedures between two texts on the same topic."
K.RI.10,OLO.ELA,Elementary,Expository Text,,Actively engage in group reading activities with purpose and understanding.
K.RF.1,OLO.ELA,Elementary,Text Features,,Demonstrate understanding of the organization and basic features of print.
K.RF.1.a,OLO.ELA,Elementary,Text Features,,"Follow words from left to right, top to bottom, and page by page."
K.RF.1.b,OLO.ELA,Elementary,Text Features,,Recognize that spoken words are represented in written language by specific sequences of letters.
K.RF.1.c,OLO.ELA,Elementary,Text Features,,Understand that words are separated by spaces in print.
K.RF.1.d,OLO.ELA,Elementary,Phonics,,Recognize and name all upper- and lowercase letters of the alphabet.
K.RF.2,OLO.ELA,Elementary,Phonics,,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
K.RF.2.a,OLO.ELA,Elementary,Phonics,,Recognize and produce rhyming words.
K.RF.2.b,OLO.ELA,Elementary,Phonics,,"Count, pronounce, blend, and segment syllables in spoken words."
K.RF.2.c,OLO.ELA,Elementary,Phonics,,Blend and segment onsets and rimes of single-syllable spoken words.
K.RF.2.d,OLO.ELA,Elementary,Phonics,,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)"
K.RF.2.e,OLO.ELA,Elementary,Phonics,,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
K.RF.3,OLO.ELA,Elementary,Phonics,,Know and apply grade-level phonics and word analysis skills in decoding words.
K.RF.3.a,OLO.ELA,Elementary,Phonics,,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.
K.RF.3.b,OLO.ELA,Elementary,Phonics,,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.
K.RF.3.c,OLO.ELA,Elementary,Phonics,,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does)."
K.RF.3.d,OLO.ELA,Elementary,Phonics,,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
K.RF.4,OLO.ELA,Elementary,Fluency,,Read emergent-reader texts with purpose and understanding.
K.W.1,OLO.ELA,Elementary,Writing Argumentative,,"Use a combination of drawing, dictating, and writing to state an opinion about a topic or a text.(e.g., My favorite book is . . .)"
K.W.1,OLO.ELA,Elementary,Writing Argumentative,,Name the topic or the text when stating an opinion about it.
K.W.2,OLO.ELA,Elementary,Writing Expository,,"Use a combination of drawing, dictating, and writing to compose expository texts about a topic."
K.W.2,OLO.ELA,Elementary,Writing Expository,,Name the topic when writing about it.
K.W.2,OLO.ELA,Elementary,Writing Expository,,"Use a combination of drawing, dictating, and writing to give information about the topic."
K.W.3,OLO.ELA,Elementary,Writing Narrative,,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events."
K.W.3,OLO.ELA,Elementary,Writing Narrative,,"Use a combination of drawing, dictating, and writing to tell about the events in the order in which they occurred."
K.W.3,OLO.ELA,Elementary,Writing Narrative,,"Use a combination of drawing, dictating, and writing to describe a personal experience."
K.W.3,OLO.ELA,Elementary,Writing Narrative,,"Use a combination of drawing, dictating, and writing to describe the experience of a character."
K.W.5,OLO.ELA,Elementary,Writing Process,,"With guidance and support from adults, respond to questions and suggestions from peers to strengthen writing."
K.W.5,OLO.ELA,Elementary,Writing Process,,"With guidance and support from adults, add details as needed to strengthen writing."
K.W.6,OLO.ELA,Elementary,Publishing,,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing."
K.W.6,OLO.ELA,Elementary,Publishing,,"With guidance and support from adults, explore a variety of digital tools to collaborate with peers."
K.W.7,OLO.ELA,Elementary,Research,,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
K.W.8,OLO.ELA,Elementary,Research,,"With guidance and support from adults, recall information from experiences to answer a question."
K.W.8,OLO.ELA,Elementary,Research,,"With guidance and support from adults, gather information from provided sources to answer a question"
K.SL.1,OLO.ELA,Elementary,Communicating,,"In smalll groups, participate in collaborative conversations with diverse partners about kindergarten topics and texts."
K.SL.1,OLO.ELA,Elementary,Communicating,,"In larger groups, participate in collaborative conversations with diverse partners about kindergarten topics and texts."
K.SL.1.a,OLO.ELA,Elementary,Communicating,,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
K.SL.1.b,OLO.ELA,Elementary,Communicating,,Continue a conversation through multiple exchanges.
K.SL.2,OLO.ELA,Elementary,Communicating,,Confirm understanding of a text read aloud by asking and answering questions about key details.
K.SL.2,OLO.ELA,Elementary,Communicating,,Confirm understanding of information presented orally or through media by asking and answering questions about key details.
K.SL.2,OLO.ELA,Elementary,Communicating,,Confirm understanding by requesting information if something is not understood.
K.SL.3,OLO.ELA,Elementary,Communicating,,"Ask questions in order to seek help, get information, or clarify something not understood."
K.SL.3,OLO.ELA,Elementary,Communicating,,"Answer questions in order to offer help, share information, or clarify something not understood."
K.SL.4,OLO.ELA,Elementary,Communicating,,"Describe familiar people, places, things, and events."
K.SL.4,OLO.ELA,Elementary,Communicating,,"With prompting and support, provide additional detail about people, places, things, and events."
K.SL.5,OLO.ELA,Elementary,Communicating,,Add drawings or other visual displays to descriptions as desired to provide additional detail.
K.SL.6,OLO.ELA,Elementary,Communicating,,"Speak audibly and express thoughts, feelings, and ideas clearly."
K.L.1,OLO.ELA,Elementary,Mechanics,,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
K.L.1.a,OLO.ELA,Elementary,Text Features,,Print many upper- and lowercase letters.
K.L.1.b,OLO.ELA,Elementary,Grammar and Usage,,Use frequently occurring nouns and verbs.
K.L.1.c,OLO.ELA,Elementary,Grammar and Usage,,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
K.L.1.d,OLO.ELA,Elementary,Grammar and Usage,,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
K.L.1.e,OLO.ELA,Elementary,Grammar and Usage,,"Use the most frequently occurring prepositions of place and direction. (e.g., to, from, in, out, on, off)"
K.L.1.f,OLO.ELA,Elementary,Grammar and Usage,,Produce and expand complete sentences in shared language activities.
K.L.2,OLO.ELA,Elementary,Mechanics,,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
K.L.2.a,OLO.ELA,Elementary,Mechanics,,Capitalize the first word in a sentence and the pronoun I.
K.L.2.b,OLO.ELA,Elementary,Mechanics,,"Recognize and name end punctuation: periods, question marks, and exclamation marks."
K.L.2.c,OLO.ELA,Elementary,Mechanics,,Write a letter or letters for most consonant and short-vowel sounds (phonemes).
K.L.2.d,OLO.ELA,Elementary,Mechanics,,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
K.L.4,OLO.ELA,Elementary,Vocabulary,,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on reading and content within the Lexile band 225-550.
K.L.4.a,OLO.ELA,Elementary,Vocabulary,,"Identify and distinguish multiple meanings for familiar words. (e.g. duck, the bird; to duck, the verb)"
K.L.4.a,OLO.ELA,Elementary,Vocabulary,,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
K.L.5,OLO.ELA,Elementary,Vocabulary,,"With guidance and support from adults, explore word relationships and nuances in word meanings."
K.L.5.a,OLO.ELA,Elementary,Vocabulary,,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
K.L.5.b,OLO.ELA,Elementary,Vocabulary,,Demonstrate understanding of frequently occurring verbs related to their opposites (antonyms).
K.L.5.b,OLO.ELA,Elementary,Vocabulary,,Demonstrate understandng of frequently occurring adjectives related to their opposites (antonyms).
K.L.5.c,OLO.ELA,Elementary,Vocabulary,,"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
K.L.5.d,OLO.ELA,Elementary,Vocabulary,,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
K.L.6,OLO.ELA,Elementary,Vocabulary,,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
